GalaxyID,Class1.1,Class1.2,Class1.3,Class2.1,Class2.2,Class3.1,Class3.2,Class4.1,Class4.2,Class5.1,Class5.2,Class5.3,Class5.4,Class6.1,Class6.2,Class7.1,Class7.2,Class7.3,Class8.1,Class8.2,Class8.3,Class8.4,Class8.5,Class8.6,Class8.7,Class9.1,Class9.2,Class9.3,Class10.1,Class10.2,Class10.3,Class11.1,Class11.2,Class11.3,Class11.4,Class11.5,Class11.6,p_elliptical,p_spiral,p_irregular,p_max,label,label_name,filepath
399912,0.839487,0.160513,0.0,0.0,0.160513,0.078569508,0.081943492,0.0,0.160513,0.0,0.053168968,0.107344032,0.0,0.208448,0.791552,0.0,0.764342,0.075145,0.0416896,0.0416896,0.0,0.0,0.0833792,0.0,0.0416896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.839487,0.0,0.033458613824,0.839487,0,elliptical,/kaggle/working/images_training_rev1/399912.jpg
206537,0.918962,0.0,0.081038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.065905,0.934095,0.031470773,0.8589547,0.028536527,0.0,0.0,0.0329525,0.0329525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.918962,0.0,0.0,0.918962,0,elliptical,/kaggle/working/images_training_rev1/206537.jpg
852946,0.02,0.959,0.021,0.0,0.959,0.440181,0.518819,0.959,0.0,0.0,0.540336083,0.400461138,0.018202779,0.836,0.164,0.02,0.0,0.0,0.0,0.020064,0.081928,0.161348,0.0,0.57266,0.0,0.0,0.0,0.0,0.22057,0.438263,0.300167,0.119875,0.340445,0.180292,0.0,0.020139,0.298249,0.02,0.0,0.8017239999999999,0.8017239999999999,2,irregular,/kaggle/working/images_training_rev1/852946.jpg
815431,0.058389,0.940415,0.001197,0.940415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.145951,0.854049,0.004514754,0.0,0.053874246,0.0,0.0,0.03648775,0.0,0.10946325,0.0,0.0,0.723044656,0.178367573,0.039001831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058389,0.884380372225,0.137254509665,0.884380372225,1,spiral,/kaggle/working/images_training_rev1/815431.jpg
760425,0.815382,0.183586,0.001031,0.0,0.183586,0.0,0.183586,0.0,0.183586,0.05779581,0.073180133,0.052610056,0.0,0.158681,0.841319,0.306292541,0.509089459,0.0,0.0,0.0,0.0,0.052840773,0.105840227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.815382,0.0,0.029131610066,0.815382,0,elliptical,/kaggle/working/images_training_rev1/760425.jpg
612661,0.132207,0.866404,0.001389,0.0,0.866404,0.072024165,0.794379835,0.231073412,0.635330588,0.345981976,0.520422024,0.0,0.0,0.977843,0.022157,0.008312647,0.123894353,0.0,0.0,0.015614197,0.101492281,0.404995191,0.404995191,0.05074614,0.0,0.0,0.0,0.0,0.0,0.092034461,0.139038952,0.0,0.145983632,0.0,0.0,0.0,0.08508978,0.132207,0.0,0.847207086572,0.847207086572,2,irregular,/kaggle/working/images_training_rev1/612661.jpg
566138,0.9,0.1,0.0,0.0,0.1,0.0,0.1,0.0,0.1,0.0,0.05,0.05,0.0,0.075,0.925,0.8001,0.0999,0.0,0.0,0.024975,0.0,0.0,0.050025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0075,0.9,0,elliptical,/kaggle/working/images_training_rev1/566138.jpg
589660,0.736885,0.263115,0.0,0.041351943,0.221763057,0.0,0.221763057,0.0,0.221763057,0.0,0.221763057,0.0,0.0,0.0,1.0,0.0,0.543512375,0.193372625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018784906,0.022567037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.736885,0.010880316482445,0.0,0.736885,0,elliptical,/kaggle/working/images_training_rev1/589660.jpg
670047,0.838016,0.161984,0.0,0.0,0.161984,0.0,0.161984,0.0,0.161984,0.0,0.022827109,0.100311184,0.038845707,0.098492,0.901508,0.5028096,0.3352064,0.0,0.0,0.049246,0.0,0.0,0.049246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.838016,0.0,0.015954128127999997,0.838016,0,elliptical,/kaggle/working/images_training_rev1/670047.jpg
741339,0.85737,0.14263,0.0,0.0356575,0.1069725,0.0,0.1069725,0.0,0.1069725,0.0,0.039837308,0.031306358,0.035828727,0.0,1.0,0.158106744,0.699263256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0356575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85737,0.0050858292250000004,0.0,0.85737,0,elliptical,/kaggle/working/images_training_rev1/741339.jpg
